"","Exp_OTU","Domain","Phylum","Class","Order","Family","Exp_Family_Mean"
"135","OTU568","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae",0.104512276045123
"91","OTU273","Bacteria","Bacteroidetes","Sphingobacteriia","uncl_Sphingobacteriia","uncl_Sphingobacteriia",0.101194426011944
"164","OTU824","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Legionellaceae",0.101194426011944
"138","OTU603","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae",0.0962176509621765
"8","OTU1150","Bacteria","Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes","uncl_Planctomycetes",0.092899800928998
"70","OTU217","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","uncl_Acidimicrobiales",0.092899800928998
"148","OTU687","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","uncl_Sphingomonadales",0.0895819508958195
"98","OTU31","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","uncl_Cyanobacteria",0.086264100862641
"123","OTU482","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","uncl_Planctomycetales",0.0846051758460518
"147","OTU682","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1",0.0812873258128733
"174","OTU946","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1",0.0812873258128733
"153","OTU741","Bacteria","Proteobacteria","Oligoflexia","Bacteriovoracales","Bacteriovoracaceae",0.0779694757796947
"21","OTU1293","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Hymenobacteraceae",0.0763105507631055
"25","OTU1392","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",0.0763105507631055
"97","OTU303","Bacteria","Actinobacteria","Acidimicrobiia","uncl_Acidimicrobiia","uncl_Acidimicrobiia",0.0763105507631055
"115","OTU401","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae",0.0763105507631055
"142","OTU646","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Azonexaceae",0.0696748506967485
"17","OTU1250","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae",0.0680159256801593
"140","OTU631","Bacteria","Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota","uncl_Abditibacteriota",0.06635700066357
