"","Survey_OTU","Domain","Phylum","Class","Order","Family","Genus","Survey_Genus_Mean"
"111","OTU1962","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas",0.00739790885776287
"124","OTU2088","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Baekduiaceae","uncl_Baekduiaceae",0.00739790885776287
"141","OTU2248","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",0.00739790885776287
"145","OTU2272","Bacteria","Proteobacteria","Oligoflexia","uncl_Oligoflexia","uncl_Oligoflexia","uncl_Oligoflexia",0.00739790885776287
"160","OTU2523","Bacteria","Rhodothermaeota","Rhodothermia","Rhodothermales","Rubricoccaceae","Rubrivirga",0.00739790885776287
"261","OTU747","Bacteria","Acidobacteria","Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6","uncl_Acidobacteria_Gp6",0.00739790885776287
"6","OTU1045","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Cytophagaceae","Persicitalea",0.00616492404813573
"23","OTU1214","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","uncl_Propionibacteriales","uncl_Propionibacteriales",0.00616492404813573
"30","OTU1244","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Mariniblastus",0.00616492404813573
"43","OTU1366","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Arthrobacter",0.00616492404813573
"53","OTU1433","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","uncl_Yersiniaceae",0.00616492404813573
"64","OTU1534","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Aurantimonadaceae","uncl_Aurantimonadaceae",0.00616492404813573
"114","OTU1988","Bacteria","Verrucomicrobia","Opitutae","uncl_Opitutae","uncl_Opitutae","uncl_Opitutae",0.00616492404813573
"128","OTU2113","Bacteria","Acidobacteria","Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","uncl_Acidobacteria_Gp1","Gp1",0.00616492404813573
"279","OTU871","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Hoeflea",0.00616492404813573
"42","OTU1340","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amaricoccus",0.00493193923850858
"48","OTU1395","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema",0.00493193923850858
"54","OTU1458","Bacteria","Chloroflexi","Anaerolineae","Aggregatilineales","Aggregatilineaceae","Aggregatilinea",0.00493193923850858
"80","OTU1685","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I","Crinalium",0.00493193923850858
