"","Exp_OTU","Domain","Phylum","Class","Order","Family","Genus","Exp_Genus_Mean"
"184","OTU431","Bacteria","Acidobacteria","Vicinamibacteria","Vicinamibacterales","Vicinamibacteraceae","Luteitalea",0.0348374253483743
"190","OTU448","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Daejeonella",0.0348374253483743
"193","OTU472","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas",0.0348374253483743
"220","OTU659","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","uncl_Nannocystaceae",0.0348374253483743
"255","OTU871","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Hoeflea",0.0348374253483743
"126","OTU2248","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Weeksellaceae","Chryseobacterium",0.033178500331785
"152","OTU281","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Armatimonadaceae","Armatimonas/Armatimonadetes_gp1",0.033178500331785
"214","OTU603","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Desertimonas",0.033178500331785
"215","OTU613","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",0.033178500331785
"245","OTU801","Bacteria","Verrucomicrobia","Verrucomicrobiae","uncl_Verrucomicrobiae","uncl_Verrucomicrobiae","uncl_Verrucomicrobiae",0.033178500331785
"25","OTU1220","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","uncl_Kaistiaceae",0.0315195753151958
"264","OTU923","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia",0.0315195753151958
"63","OTU1636","Bacteria","Firmicutes","Negativicutes","Veillonellales","Veillonellaceae","Veillonella",0.0298606502986065
"6","OTU1047","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Alpinimonas",0.0282017252820173
"13","OTU1139","Bacteria","Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","uncl_Armatimonadetes","Armatimonadetes_gp4",0.0282017252820173
"43","OTU1395","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Treponema",0.0282017252820173
"121","OTU2196","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Reyranellaceae","Reyranella",0.0282017252820173
"247","OTU817","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter",0.026542800265428
"11","OTU1110","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio",0.0248838752488388
"52","OTU1465","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","Ilumatobacteraceae","Ilumatobacter",0.0248838752488388
"58","OTU1570","Bacteria","Cyanobacteria","Cyanobacteria","uncl_Cyanobacteria","Family_I","uncl_Family_I",0.0248838752488388
"17","OTU1173","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella",0.0232249502322495
"31","OTU1277","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira",0.0232249502322495
"54","OTU1482","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncl_Rhodocyclaceae",0.0232249502322495
"95","OTU1972","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",0.0232249502322495
"239","OTU751","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","uncl_Aeromonadaceae",0.0232249502322495
"267","OTU938","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Planctomycetaceae","Schlesneria",0.0232249502322495
"5","OTU1041","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","uncl_Moraxellaceae",0.0215660252156603
"98","OTU1993","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Fluviicola",0.0215660252156603
"137","OTU2408","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Chromatiaceae","Alishewanella",0.0215660252156603
"154","OTU287","Bacteria","Acidobacteria","Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4","uncl_Acidobacteria_Gp4",0.0215660252156603
"266","OTU935","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncl_Verrucomicrobiaceae",0.0215660252156603
